Unix Timestamp,Date,Time,Distance (cm),Confidence (%),Yaw (deg),Latitude,Longitude
1705364372409,01/16/24,0:19:32,5589,100,245.53,19.6404764,-156.0116856
1705364372993,01/16/24,0:19:32,5599,100,245.96,19.6404744,-156.0116934
1705364373622,01/16/24,0:19:33,5601,100,246.04,19.640473,-156.0117011
1705364374238,01/16/24,0:19:34,5620,100,247.41,19.6404713,-156.0117081
1705364374804,01/16/24,0:19:34,5627,100,248.63,19.6404701,-156.0117116
1705364375395,01/16/24,0:19:35,5646,100,246.93,19.6404689,-156.0117192
1705364375963,01/16/24,0:19:35,5652,100,245.02,19.6404674,-156.0117265
1705364376603,01/16/24,0:19:36,5677,100,246.67,19.6404653,-156.0117337
1705364377170,01/16/24,0:19:37,5684,100,248.05,19.6404642,-156.0117374
1705364377743,01/16/24,0:19:37,5696,100,247.54,19.6404622,-156.0117448
1705364378429,01/16/24,0:19:38,5702,100,247.39,19.6404606,-156.0117524
1705364379006,01/16/24,0:19:39,5715,100,247.54,19.6404594,-156.0117603
1705364379688,01/16/24,0:19:39,5716,100,247.81,19.6404579,-156.0117672
1705364380292,01/16/24,0:19:40,5730,100,248.36,19.640456,-156.0117751
1705364380871,01/16/24,0:19:40,5733,100,247.75,19.6404545,-156.0117826
1705364381583,01/16/24,0:19:41,5749,100,246.14,19.6404535,-156.0117866
1705364382166,01/16/24,0:19:42,5776,100,247.16,19.6404524,-156.0117943
1705364382735,01/16/24,0:19:42,5778,100,248.41,19.6404501,-156.0118018
1705364383319,01/16/24,0:19:43,5777,100,249.05,19.6404482,-156.0118094
1705364383896,01/16/24,0:19:43,5775,100,249.32,19.6404463,-156.0118171
1705364384532,01/16/24,0:19:44,5773,100,249.43,19.6404451,-156.0118209
1705364385111,01/16/24,0:19:45,5765,100,250.5,19.6404433,-156.0118289
1705364385715,01/16/24,0:19:45,5771,100,250.45,19.6404422,-156.0118367
1705364386303,01/16/24,0:19:46,5771,100,250.28,19.6404407,-156.0118437
1705364386875,01/16/24,0:19:46,5777,100,248.07,19.6404393,-156.0118512
1705364387438,01/16/24,0:19:47,5792,100,246.26,19.6404383,-156.0118548
1705364388000,01/16/24,0:19:48,5794,100,247.3,19.6404366,-156.0118624
1705364388571,01/16/24,0:19:48,5799,100,246.99,19.6404351,-156.0118694
1705364389185,01/16/24,0:19:49,5808,100,247.55,19.6404341,-156.0118728
1705364389766,01/16/24,0:19:49,5817,100,248.07,19.6404319,-156.0118801
1705364390347,01/16/24,0:19:50,5829,100,247.74,19.6404297,-156.0118876
